ID,LABEL
BERVO:0000417,Total root + microbial phosphate uptake non-band
BERVO:0000419,Total root + microbial nitrous oxide uptake
BERVO:0000421,Total root + microbial ammonium uptake band
BERVO:0000423,Total root + microbial nitrate uptake band
BERVO:0000425,Total root + microbial nitrogen dioxide uptake band
BERVO:0000427,Total root + microbial phosphate uptake band
BERVO:0000429,Total root + microbial dissolved organic carbon uptake
BERVO:0000431,Total root + microbial acetate uptake
BERVO:0000433,Total root hydrogen flux
BERVO:0000434,Root autotrophic respiration
BERVO:0000435,Current time step root autotrophic respiration
BERVO:0000436,Previous time step root autotrophic respiration
BERVO:0000437,Moisture dependence scalar for root growth
BERVO:0000438,Autotrophic root respiration released to soil
BERVO:0000439,Total autotrophic root respiration released to soil
BERVO:0000440,Autotrophic root respiration released to root
BERVO:0000441,Total autotrophic root respiration released to root
BERVO:0000442,Gases released to soil due to dying roots
BERVO:0000443,Gas released to soil due to dying roots
BERVO:0000444,Change factor for irrigation
BERVO:0000445,Subsurface irrigation carbon dioxide concentration
BERVO:0000446,Subsurface irrigation methane concentration
BERVO:0000447,Subsurface irrigation oxygen concentration
BERVO:0000448,Subsurface irrigation nitrogen concentration
BERVO:0000449,Subsurface irrigation nitrous oxide concentration
BERVO:0000450,Start and end dates of automated irrigation
BERVO:0000451,Irrigation application
BERVO:0000452,Depth of irrigation application
BERVO:0000453,Underground irrigation
BERVO:0000454,Surface irrigation
BERVO:0000455,Fraction of FC-WP below which automatic irrigation applied
BERVO:0000456,Fraction of FC-WP to which automatic irrigation applied
BERVO:0000457,Depth to which automatic irrigation applied
BERVO:0000458,Accumulated relative change for irrigation
BERVO:0000459,Surface irrigation pH
BERVO:0000460,Surface irrigation ammonium concentration
BERVO:0000461,Surface irrigation nitrate concentration
BERVO:0000462,Surface irrigation H2PO4 concentration
BERVO:0000463,Surface irrigation Al concentration
BERVO:0000464,Surface irrigation iron concentration
BERVO:0000465,Surface irrigation hydrogen concentration
BERVO:0000466,Surface irrigation calcium concentration
BERVO:0000467,Surface irrigation magnesium concentration
BERVO:0000468,Surface irrigation sodium concentration
BERVO:0000469,Surface irrigation potassium concentration
BERVO:0000470,Surface irrigation hydroxide concentration
BERVO:0000471,Surface irrigation sulfate concentration
BERVO:0000472,Surface irrigation chloride concentration
